## vdj_pipe v0.1.5-15-gffd7271~; clang7.0.2; Boost1.57.0; build:20160217; 2016-Feb-17 21:22:21 UTC
read_id	total_copies	exact_copies	mismatched_ends	5'-mismatch	3'-mismatch
IS9DOBB01BCD9T	4	4	0	0	0
IS9DOBB01ERHLX	1	1	0	0	0
IS9DOBB01AN9KE	1	1	0	0	0
IS9DOBB01A6B0G	1	1	0	0	0
IS9DOBB01A2RK7	8	8	0	0	0
IS9DOBB01DEUDR	678	678	0	0	0
IS9DOBB01A2D05	6	6	0	0	0
IS9DOBB01A6RV7	2	2	0	0	0
IS9DOBB01AK3PQ	50	50	0	0	0
IS9DOBB01C58ZB	394	394	0	0	0
IS9DOBB01C4UFL	2	2	0	0	0
IS9DOBB01ATO9A	4	4	0	0	0
IS9DOBB01B0WXQ	2	2	0	0	0
IS9DOBB01ASKJ5	26	26	0	0	0
IS9DOBB01BAKBN	1757	1757	0	0	0
IS9DOBB01A2UOC	1	1	0	0	0
IS9DOBB01A9EWT	1	1	0	0	0
IS9DOBB01DS9FN	4	4	0	0	0
IS9DOBB01BFW8O	2	2	0	0	0
IS9DOBB01AS9AW	3	3	0	0	0
IS9DOBB01DOOXO	35	35	0	0	0
IS9DOBB01BE03J	13	13	0	0	0
IS9DOBB01COE4S	1	1	0	0	0
IS9DOBB01EMBY0	122	122	0	0	0
IS9DOBB01AVNTS	4	4	0	0	0
IS9DOBB01DOK4R	1	1	0	0	0
IS9DOBB01BBMIG	1	1	0	0	0
IS9DOBB01AKBLD	1	1	0	0	0
IS9DOBB01A6GA9	5	5	0	0	0
IS9DOBB01ENPT0	1	1	0	0	0
IS9DOBB01EUBGR	5	5	0	0	0
IS9DOBB01DFPYT	7	7	0	0	0
IS9DOBB01B4U08	1	1	0	0	0
IS9DOBB01AUEHN	57	57	0	0	0
IS9DOBB01AS6G4	4	4	0	0	0
IS9DOBB01B312H	1	1	0	0	0
IS9DOBB01B2KB4	52	52	0	0	0
IS9DOBB01B9RUK	1	1	0	0	0
IS9DOBB01ALMPY	169	169	0	0	0
IS9DOBB01CGC0L	1	1	0	0	0
IS9DOBB01D4R51	1	1	0	0	0
IS9DOBB01EM0IB	190	190	0	0	0
IS9DOBB01AOONG	3	3	0	0	0
IS9DOBB01AW058	2	2	0	0	0
IS9DOBB01C6R3W	8	8	0	0	0
IS9DOBB01A5TTE	1	1	0	0	0
IS9DOBB01BADIE	1	1	0	0	0
IS9DOBB01DNQ3N	3	3	0	0	0
IS9DOBB01BIMC7	1	1	0	0	0
IS9DOBB01AYI2K	3	3	0	0	0
IS9DOBB01EUZVK	1	1	0	0	0
IS9DOBB01C7HLE	1	1	0	0	0
IS9DOBB01AKH7E	59	59	0	0	0
IS9DOBB01AV619	2	2	0	0	0
IS9DOBB01DPRM3	1	1	0	0	0
IS9DOBB01AJLZH	2	2	0	0	0
IS9DOBB01C6RJG	1	1	0	0	0
IS9DOBB01BFDXM	1	1	0	0	0
IS9DOBB01CSPYJ	1	1	0	0	0
IS9DOBB01EAPG4	6	6	0	0	0
IS9DOBB01CH3SN	1	1	0	0	0
IS9DOBB01DD265	2	2	0	0	0
IS9DOBB01ALNDV	2	2	0	0	0
IS9DOBB01CLF8A	14	14	0	0	0
IS9DOBB01D58ZO	3	3	0	0	0
IS9DOBB01CFXK2	4	4	0	0	0
IS9DOBB01ALSMS	5	5	0	0	0
IS9DOBB01AHOHG	14	14	0	0	0
IS9DOBB01EFW3B	4	4	0	0	0
IS9DOBB01BN3MT	17	17	0	0	0
IS9DOBB01CW7DQ	62	62	0	0	0
IS9DOBB01CYF9V	19	19	0	0	0
IS9DOBB01DE3UK	1	1	0	0	0
IS9DOBB01A298C	1	1	0	0	0
IS9DOBB01AVTEV	1	1	0	0	0
IS9DOBB01ENSLW	33	33	0	0	0
IS9DOBB01C73AG	2	2	0	0	0
IS9DOBB01AWDAN	43	43	0	0	0
IS9DOBB01EL77A	25	25	0	0	0
IS9DOBB01AYZI0	10	10	0	0	0
IS9DOBB01BCQ48	3	3	0	0	0
IS9DOBB01DQBOU	1	1	0	0	0
IS9DOBB01AROLA	3	3	0	0	0
IS9DOBB01CE1TW	32	32	0	0	0
IS9DOBB01BBX61	3	3	0	0	0
IS9DOBB01AX0JJ	1	1	0	0	0
IS9DOBB01CBCZM	8	8	0	0	0
IS9DOBB01ASW4O	1	1	0	0	0
IS9DOBB01ADQJ0	3	3	0	0	0
IS9DOBB01ASWZV	5	5	0	0	0
IS9DOBB01DP6B0	1	1	0	0	0
IS9DOBB01AQA04	8	8	0	0	0
IS9DOBB01AOJLD	1	1	0	0	0
IS9DOBB01DI56V	1	1	0	0	0
IS9DOBB01EMN5Q	1	1	0	0	0
IS9DOBB01ESNU8	2	2	0	0	0
IS9DOBB01BQTQ7	1	1	0	0	0
IS9DOBB01EZKIO	1	1	0	0	0
IS9DOBB01DL4WI	1	1	0	0	0
IS9DOBB01A8AFP	1	1	0	0	0
IS9DOBB01ANBOQ	1	1	0	0	0
IS9DOBB01A4LN3	10	10	0	0	0
IS9DOBB01ECGZY	18	18	0	0	0
IS9DOBB01EGJBR	1	1	0	0	0
IS9DOBB01CF9JG	7	7	0	0	0
IS9DOBB01ANZZX	3	3	0	0	0
IS9DOBB01B2TS2	1	1	0	0	0
IS9DOBB01EC4GL	28	28	0	0	0
IS9DOBB01DWSKS	2	2	0	0	0
IS9DOBB01CPIPH	1	1	0	0	0
IS9DOBB01DV5K6	1	1	0	0	0
IS9DOBB01EC9CL	1	1	0	0	0
IS9DOBB01DQ50X	6	6	0	0	0
IS9DOBB01CS2SU	7	7	0	0	0
IS9DOBB01CTY46	1	1	0	0	0
IS9DOBB01EKZWG	3	3	0	0	0
IS9DOBB01AUK4L	1	1	0	0	0
IS9DOBB01DBU38	1	1	0	0	0
IS9DOBB01D3VF5	3	3	0	0	0
IS9DOBB01CP32F	3	3	0	0	0
IS9DOBB01EJLWE	1	1	0	0	0
IS9DOBB01B1PJ2	1	1	0	0	0
IS9DOBB01ATYJN	3	3	0	0	0
IS9DOBB01DSU6O	1	1	0	0	0
IS9DOBB01C5U1L	11	11	0	0	0
IS9DOBB01AR7C3	3	3	0	0	0
IS9DOBB01DZC1V	1	1	0	0	0
IS9DOBB01DLQ12	1	1	0	0	0
IS9DOBB01BMY4Y	1	1	0	0	0
IS9DOBB01A1KAG	1	1	0	0	0
IS9DOBB01B11DP	3	3	0	0	0
IS9DOBB01AF0JM	16	16	0	0	0
IS9DOBB01C2AUQ	3	3	0	0	0
IS9DOBB01ASGWR	51	51	0	0	0
IS9DOBB01ESGM7	3	3	0	0	0
IS9DOBB01DHKXN	2	2	0	0	0
IS9DOBB01DBS8T	2	2	0	0	0
IS9DOBB01BUIL8	3	3	0	0	0
IS9DOBB01BHX6H	2	2	0	0	0
IS9DOBB01EOYLO	1	1	0	0	0
IS9DOBB01AJIZQ	1	1	0	0	0
IS9DOBB01EKCBC	1	1	0	0	0
IS9DOBB01DWOBU	2	2	0	0	0
IS9DOBB01DRHS2	2	2	0	0	0
IS9DOBB01B412V	1	1	0	0	0
IS9DOBB01AX4FT	5	5	0	0	0
IS9DOBB01C5PD6	1	1	0	0	0
IS9DOBB01BAAC4	2	2	0	0	0
IS9DOBB01DTVWA	5	5	0	0	0
IS9DOBB01DTTJX	1	1	0	0	0
IS9DOBB01D5KCN	34	34	0	0	0
IS9DOBB01D8L5I	1	1	0	0	0
IS9DOBB01EMOMK	1	1	0	0	0
IS9DOBB01A0DOF	5	5	0	0	0
IS9DOBB01CXP1N	1	1	0	0	0
IS9DOBB01ATIY1	1	1	0	0	0
IS9DOBB01CB17K	1	1	0	0	0
IS9DOBB01BSQV5	5	5	0	0	0
IS9DOBB01DNAHI	1	1	0	0	0
IS9DOBB01CJEXL	2	2	0	0	0
IS9DOBB01AM1DR	2	2	0	0	0
IS9DOBB01ES8KH	1	1	0	0	0
IS9DOBB01EEMUD	1	1	0	0	0
IS9DOBB01DVDPI	4	4	0	0	0
IS9DOBB01A2EG0	1	1	0	0	0
IS9DOBB01CA5WS	12	12	0	0	0
IS9DOBB01BL3GC	7	7	0	0	0
IS9DOBB01AVT84	1	1	0	0	0
IS9DOBB01EBVCI	1	1	0	0	0
IS9DOBB01BCOVW	3	3	0	0	0
IS9DOBB01B6MPN	1	1	0	0	0
IS9DOBB01BM8UT	2	2	0	0	0
IS9DOBB01EU0BS	1	1	0	0	0
IS9DOBB01BHHIK	6	6	0	0	0
IS9DOBB01CXHR7	1	1	0	0	0
IS9DOBB01CVJXT	3	3	0	0	0
IS9DOBB01ADMU8	1	1	0	0	0
IS9DOBB01DK958	1	1	0	0	0
IS9DOBB01B1ZHU	23	23	0	0	0
IS9DOBB01B2AS9	1	1	0	0	0
IS9DOBB01EEAIA	2	2	0	0	0
IS9DOBB01DN6NG	1	1	0	0	0
IS9DOBB01C2VW6	6	6	0	0	0
IS9DOBB01DDW8L	4	4	0	0	0
IS9DOBB01BRN5K	3	3	0	0	0
IS9DOBB01DXP2D	3	3	0	0	0
IS9DOBB01DCCA1	2	2	0	0	0
IS9DOBB01CWPL6	1	1	0	0	0
IS9DOBB01CPAYK	1	1	0	0	0
IS9DOBB01B0HRV	2	2	0	0	0
IS9DOBB01CLZ0Q	1	1	0	0	0
IS9DOBB01ARYZO	2	2	0	0	0
IS9DOBB01DLI99	1	1	0	0	0
IS9DOBB01AJ1LC	1	1	0	0	0
IS9DOBB01DTBLC	3	3	0	0	0
IS9DOBB01ASIXI	1	1	0	0	0
IS9DOBB01EBDDX	1	1	0	0	0
IS9DOBB01BRBUN	1	1	0	0	0
IS9DOBB01CVQVK	2	2	0	0	0
IS9DOBB01DXGJZ	1	1	0	0	0
IS9DOBB01BMVLZ	1	1	0	0	0
IS9DOBB01C4K9V	2	2	0	0	0
IS9DOBB01BAJ58	2	2	0	0	0
IS9DOBB01EJ95Z	1	1	0	0	0
IS9DOBB01ATMRC	3	3	0	0	0
IS9DOBB01BJF39	40	40	0	0	0
IS9DOBB01A2RHI	1	1	0	0	0
IS9DOBB01C0G1Y	13	13	0	0	0
IS9DOBB01BHXM2	5	5	0	0	0
IS9DOBB01AWSNF	1	1	0	0	0
IS9DOBB01D9PHX	3	3	0	0	0
IS9DOBB01C6RL9	1	1	0	0	0
IS9DOBB01B1UR3	1	1	0	0	0
IS9DOBB01ECTIG	2	2	0	0	0
IS9DOBB01DUK10	2	2	0	0	0
IS9DOBB01A55ZG	1	1	0	0	0
IS9DOBB01BH4CD	3	3	0	0	0
IS9DOBB01DJ0V4	4	4	0	0	0
IS9DOBB01ASE4V	11	11	0	0	0
IS9DOBB01DS8SZ	10	10	0	0	0
IS9DOBB01DMKI7	6	6	0	0	0
IS9DOBB01CO8DF	1	1	0	0	0
IS9DOBB01DP7Y5	1	1	0	0	0
IS9DOBB01CS0S4	1	1	0	0	0
IS9DOBB01BJ4NT	1	1	0	0	0
IS9DOBB01C6G7M	1	1	0	0	0
IS9DOBB01C87YS	1	1	0	0	0
IS9DOBB01EN49B	5	5	0	0	0
IS9DOBB01EQZG2	1	1	0	0	0
IS9DOBB01C06EG	3	3	0	0	0
IS9DOBB01EO1F2	45	45	0	0	0
IS9DOBB01C35TM	1	1	0	0	0
IS9DOBB01DMTY4	1	1	0	0	0
IS9DOBB01BCW1V	1	1	0	0	0
IS9DOBB01AQTCA	5	5	0	0	0
IS9DOBB01CB72A	2	2	0	0	0
IS9DOBB01D0TQ4	4	4	0	0	0
IS9DOBB01EJ2FJ	1	1	0	0	0
IS9DOBB01B9C1F	4	4	0	0	0
IS9DOBB01CLWJQ	1	1	0	0	0
IS9DOBB01CJESB	3	3	0	0	0
IS9DOBB01C5I81	7	7	0	0	0
IS9DOBB01CQCFS	34	34	0	0	0
IS9DOBB01EY17X	3	3	0	0	0
IS9DOBB01DW7AV	1	1	0	0	0
IS9DOBB01ERQ6G	1	1	0	0	0
IS9DOBB01CMVBC	2	2	0	0	0
IS9DOBB01CJB36	2	2	0	0	0
IS9DOBB01BZMM1	1	1	0	0	0
IS9DOBB01C35UJ	1	1	0	0	0
IS9DOBB01AJIH4	3	3	0	0	0
IS9DOBB01DM5LR	10	10	0	0	0
IS9DOBB01C7630	2	2	0	0	0
IS9DOBB01EF99A	1	1	0	0	0
IS9DOBB01DW6OK	2	2	0	0	0
IS9DOBB01ASBQL	1	1	0	0	0
IS9DOBB01DGP9T	3	3	0	0	0
IS9DOBB01DS4ZP	1	1	0	0	0
IS9DOBB01D66W4	1	1	0	0	0
IS9DOBB01EMYIW	2	2	0	0	0
IS9DOBB01EGS9N	5	5	0	0	0
IS9DOBB01DNUWB	1	1	0	0	0
IS9DOBB01DUOXI	1	1	0	0	0
IS9DOBB01A6VZD	3	3	0	0	0
IS9DOBB01AGP9L	1	1	0	0	0
IS9DOBB01C532O	1	1	0	0	0
IS9DOBB01D3GGU	10	10	0	0	0
IS9DOBB01DCD88	4	4	0	0	0
IS9DOBB01D34M1	3	3	0	0	0
IS9DOBB01CWARJ	1	1	0	0	0
IS9DOBB01A8XF9	2	2	0	0	0
IS9DOBB01ENG0C	10	10	0	0	0
IS9DOBB01A52UA	2	2	0	0	0
IS9DOBB01APO2U	1	1	0	0	0
IS9DOBB01DMBEF	3	3	0	0	0
IS9DOBB01EDSW3	2	2	0	0	0
IS9DOBB01DN4P2	8	8	0	0	0
IS9DOBB01DX08X	5	5	0	0	0
IS9DOBB01CKPDX	1	1	0	0	0
IS9DOBB01EB7J1	32	32	0	0	0
IS9DOBB01DWCD2	1	1	0	0	0
IS9DOBB01BEOF7	1	1	0	0	0
IS9DOBB01A3SOI	1	1	0	0	0
IS9DOBB01EMEN1	5	5	0	0	0
IS9DOBB01AZN2R	2	2	0	0	0
IS9DOBB01DXGQE	1	1	0	0	0
IS9DOBB01BX286	1	1	0	0	0
IS9DOBB01A3L3O	2	2	0	0	0
IS9DOBB01DY617	4	4	0	0	0
IS9DOBB01DJOK7	11	11	0	0	0
IS9DOBB01AMVLN	3	3	0	0	0
IS9DOBB01CV5QE	20	20	0	0	0
IS9DOBB01B12JA	3	3	0	0	0
IS9DOBB01BGWF5	9	9	0	0	0
IS9DOBB01BTZN0	15	15	0	0	0
IS9DOBB01BZBXS	2	2	0	0	0
IS9DOBB01D5JF1	6	6	0	0	0
IS9DOBB01ED1Q8	1	1	0	0	0
IS9DOBB01CLTSP	1	1	0	0	0
IS9DOBB01DIKIR	1	1	0	0	0
IS9DOBB01DMBKN	14	14	0	0	0
IS9DOBB01ED296	2	2	0	0	0
IS9DOBB01AJYHH	1	1	0	0	0
IS9DOBB01DLDZ4	4	4	0	0	0
IS9DOBB01BWIVN	3	3	0	0	0
IS9DOBB01EAB1J	12	12	0	0	0
IS9DOBB01DSY3G	1	1	0	0	0
IS9DOBB01BL0E7	1	1	0	0	0
IS9DOBB01AKHJW	9	9	0	0	0
IS9DOBB01DUU63	3	3	0	0	0
IS9DOBB01C2PS3	1	1	0	0	0
IS9DOBB01EM7HQ	2	2	0	0	0
IS9DOBB01AWK8Y	1	1	0	0	0
IS9DOBB01EGU8K	1	1	0	0	0
IS9DOBB01CZBKC	3	3	0	0	0
IS9DOBB01A8G15	1	1	0	0	0
IS9DOBB01BGCF8	2	2	0	0	0
IS9DOBB01BIMET	2	2	0	0	0
IS9DOBB01ARRLY	1	1	0	0	0
IS9DOBB01EZ9NZ	1	1	0	0	0
IS9DOBB01CWCMX	5	5	0	0	0
IS9DOBB01DH6UL	13	13	0	0	0
IS9DOBB01D4H26	1	1	0	0	0
IS9DOBB01AKRQ2	1	1	0	0	0
IS9DOBB01DOX9R	1	1	0	0	0
IS9DOBB01A90UD	1	1	0	0	0
IS9DOBB01EDWSM	1	1	0	0	0
IS9DOBB01DAP7P	1	1	0	0	0
IS9DOBB01AE5BL	6	6	0	0	0
IS9DOBB01A3WW7	1	1	0	0	0
IS9DOBB01DBHRA	8	8	0	0	0
IS9DOBB01BWZWR	2	2	0	0	0
IS9DOBB01DPM3Z	3	3	0	0	0
IS9DOBB01D5XIA	2	2	0	0	0
IS9DOBB01BZO32	2	2	0	0	0
IS9DOBB01DH7H9	3	3	0	0	0
IS9DOBB01B711H	1	1	0	0	0
IS9DOBB01BLZFK	6	6	0	0	0
IS9DOBB01EO4FP	2	2	0	0	0
IS9DOBB01BPDZ2	1	1	0	0	0
IS9DOBB01DI8EB	4	4	0	0	0
IS9DOBB01B6IP2	1	1	0	0	0
IS9DOBB01C0KXJ	2	2	0	0	0
IS9DOBB01CMYHM	1	1	0	0	0
IS9DOBB01BLHG2	5	5	0	0	0
IS9DOBB01BJSJ7	1	1	0	0	0
IS9DOBB01DZ3I5	1	1	0	0	0
IS9DOBB01DMBDY	1	1	0	0	0
IS9DOBB01CU8WK	1	1	0	0	0
IS9DOBB01D2T2B	1	1	0	0	0
IS9DOBB01CZJEW	1	1	0	0	0
IS9DOBB01BOCH8	1	1	0	0	0
IS9DOBB01CHVNG	1	1	0	0	0
IS9DOBB01EY7BN	1	1	0	0	0
IS9DOBB01CQFP3	7	7	0	0	0
IS9DOBB01ANIM6	1	1	0	0	0
IS9DOBB01DOY83	1	1	0	0	0
IS9DOBB01DZK42	5	5	0	0	0
IS9DOBB01D6KEE	1	1	0	0	0
IS9DOBB01AGZGF	2	2	0	0	0
IS9DOBB01AW5UA	1	1	0	0	0
IS9DOBB01CBS7C	1	1	0	0	0
IS9DOBB01CAWK9	1	1	0	0	0
IS9DOBB01EGQDH	2	2	0	0	0
IS9DOBB01BEVZ3	3	3	0	0	0
IS9DOBB01CM497	1	1	0	0	0
IS9DOBB01CCYKP	1	1	0	0	0
IS9DOBB01BJV4O	5	5	0	0	0
IS9DOBB01DMIHG	4	4	0	0	0
IS9DOBB01DA3JW	2	2	0	0	0
IS9DOBB01AURTK	5	5	0	0	0
IS9DOBB01D6FPC	4	4	0	0	0
IS9DOBB01D0IW7	2	2	0	0	0
IS9DOBB01AU0V5	1	1	0	0	0
IS9DOBB01BA00H	1	1	0	0	0
IS9DOBB01CBL0Z	2	2	0	0	0
IS9DOBB01COAKF	1	1	0	0	0
IS9DOBB01A0ZGJ	1	1	0	0	0
IS9DOBB01CW0TH	1	1	0	0	0
IS9DOBB01EA7S4	1	1	0	0	0
IS9DOBB01A4OQ0	4	4	0	0	0
IS9DOBB01CKQXL	1	1	0	0	0
IS9DOBB01CRE70	2	2	0	0	0
IS9DOBB01AD84I	2	2	0	0	0
IS9DOBB01A2U2A	1	1	0	0	0
IS9DOBB01BRKFS	1	1	0	0	0
IS9DOBB01AESJC	5	5	0	0	0
IS9DOBB01EUJC1	2	2	0	0	0
IS9DOBB01AL8H3	1	1	0	0	0
IS9DOBB01C4U37	1	1	0	0	0
IS9DOBB01C5AM1	1	1	0	0	0
IS9DOBB01D9HXL	2	2	0	0	0
IS9DOBB01EJ8PV	1	1	0	0	0
IS9DOBB01ASWUB	1	1	0	0	0
IS9DOBB01D98R5	1	1	0	0	0
IS9DOBB01B7X96	2	2	0	0	0
IS9DOBB01B8QSN	1	1	0	0	0
IS9DOBB01DGMK9	2	2	0	0	0
IS9DOBB01CBPHC	1	1	0	0	0
IS9DOBB01BH3LN	1	1	0	0	0
IS9DOBB01CQMLY	1	1	0	0	0
IS9DOBB01AU7XC	4	4	0	0	0
IS9DOBB01DHNY8	2	2	0	0	0
IS9DOBB01EI9UH	1	1	0	0	0
IS9DOBB01D2TIA	1	1	0	0	0
IS9DOBB01DUBAB	3	3	0	0	0
IS9DOBB01EK2B9	2	2	0	0	0
IS9DOBB01C5Z9E	2	2	0	0	0
IS9DOBB01BHIYI	1	1	0	0	0
IS9DOBB01B6JAX	2	2	0	0	0
IS9DOBB01DDATB	1	1	0	0	0
IS9DOBB01B54H5	2	2	0	0	0
IS9DOBB01DHCOB	1	1	0	0	0
IS9DOBB01BIMF9	1	1	0	0	0
IS9DOBB01ET7YI	1	1	0	0	0
IS9DOBB01AQT44	4	4	0	0	0
IS9DOBB01EB4ZT	1	1	0	0	0
IS9DOBB01EU3SX	2	2	0	0	0
IS9DOBB01DLFKO	3	3	0	0	0
IS9DOBB01EF07G	1	1	0	0	0
IS9DOBB01DYCS6	5	5	0	0	0
IS9DOBB01ETPW6	3	3	0	0	0
IS9DOBB01B2EDP	1	1	0	0	0
IS9DOBB01DUCMU	2	2	0	0	0
IS9DOBB01CWWWQ	1	1	0	0	0
IS9DOBB01CVH8G	8	8	0	0	0
IS9DOBB01BD295	9	9	0	0	0
IS9DOBB01D5SLA	16	16	0	0	0
IS9DOBB01ERK31	1	1	0	0	0
IS9DOBB01D1BNE	4	4	0	0	0
IS9DOBB01DLX9V	1	1	0	0	0
IS9DOBB01D85U9	2	2	0	0	0
IS9DOBB01EQ1BC	4	4	0	0	0
IS9DOBB01BIO14	2	2	0	0	0
IS9DOBB01BUOEX	3	3	0	0	0
IS9DOBB01CQGVJ	1	1	0	0	0
IS9DOBB01EUMR1	3	3	0	0	0
IS9DOBB01D5GMW	1	1	0	0	0
IS9DOBB01DWHXA	1	1	0	0	0
IS9DOBB01D65NH	9	9	0	0	0
IS9DOBB01DQ6C4	2	2	0	0	0
IS9DOBB01B3E37	1	1	0	0	0
IS9DOBB01D1FQ5	1	1	0	0	0
IS9DOBB01BERAZ	1	1	0	0	0
IS9DOBB01B1PSY	5	5	0	0	0
IS9DOBB01BJXSS	3	3	0	0	0
IS9DOBB01CJINH	2	2	0	0	0
IS9DOBB01BQFTW	1	1	0	0	0
IS9DOBB01AQPSP	1	1	0	0	0
IS9DOBB01CCHV3	1	1	0	0	0
IS9DOBB01CR71J	1	1	0	0	0
IS9DOBB01C2BAA	1	1	0	0	0
